수유1동 공동육아나눔터,11305,영유아,127.02195,37.63209,서울특별시 강북구 수유로12길 63,101동 2층 (수유동 삼성쉐르빌),N,,Y,0.0
동대문구 공동육아나눔터 제2호점(신세계 이마트 희망놀이터),11230,영유아,127.03888,37.57936,서울특별시 동대문구 고산자로36길 3,경동시장 신관 2층 공동육아나눔터 제 2호점 (제기동),Y,https://ddmhfc.familynet.or.kr,N,4000.0
동대문구 공동육아나눔터 제1호점,11230,초등학생,127.03416,37.57187,서울특별시 동대문구 청계천로 521,다사랑행복센터 7층 공동육아나눔터 제1호점 (용두동),Y,https://ddmhfc.familynet.or.kr,Y,
도봉구 공동육아나눔터 쌍문점,11320,영유아,127.02625,37.64709,서울특별시 도봉구 우이천로 340,쌍문채움도서관 1층 공동육아나눔터 (쌍문동),Y,https://dobong.familynet.or.kr/center/index.do,Y,
공동육아나눔터 영등포,11560,영유아,126.92145,37.51117,서울특별시 영등포구 영등포로84길 24-5,4층 영등포구건강가정지원센터 (신길동),Y,https://ydpfc.familynet.or.kr/center/index.do,Y,
마포구공동육아나눔터,11440,영유아,126.91132,37.54908,서울특별시 마포구 양화로 19,홀트아동복지회 지하2층 (합정동),N,,Y,
강북구 건강가정.다문화가족지원센터 공동육아나눔터,11305,영유아,127.02969,37.63776,서울특별시 강북구 한천로129길 6, (번동),N,,Y,
도봉구 공동육아나눔터 창동점,11320,영유아,127.04951,37.65902,서울특별시 도봉구 노해로69길 151,도봉아이나라도서관 3층,Y,https://dobong.familynet.or.kr/center/index.do,Y,
도봉구 공동육아나눔터 도봉점,11320,영유아,127.04336,37.67868,서울특별시 도봉구 도봉로169나길 22,도봉1동주민센터 2층 작은도서관 내,Y,https://dobong.familynet.or.kr/center/index.do,Y,
도봉구 공동육아나눔터 방학점,11320,영유아,127.02782,37.66222,서울특별시 도봉구 시루봉로 128,학마을다사랑 도서관 1층 어린이열람실 내,Y,https://dobong.familynet.or.kr/center/index.do,Y,
도봉구 공동육아나눔터 거점,11320,영유아,127.03859,37.65385,서울특별시 도봉구 도봉로 552,도봉구민회관 2층,Y,https://dobong.familynet.or.kr/center/index.do,Y,
송파구 공동육아나눔터,11710,영유아,127.11959,37.53158,서울시 송파구 토성로 19길 37,2층 공동육아나눔터,N,,N,
관악구 건강가정다문화가족지원센터 공동육아나눔터,11620,영유아,126.94497,37.46755,서울시 관악구 신림로 3길 35,남파 김삼준 문화복지기념관 3층,N,,N,
서대문구 초등돌봄 공동육아나눔터(꿈도담터),11410,영유아,126.93899,37.5763,서울시 서대문구 연희로 32길 48,연희성원아파트 관리동 2층 꿈도담터,N,,N,
동작구공동육아나눔터,11590,영유아,126.97756,37.48839,서울특별시 동작구 동작대로29길 63-26,지층 (사당동),Y,http://dchfc.familynet.or.kr,Y,
서대문구공동육아나눔터,11410,영유아,126.94842,37.58318,서울특별시 서대문구 통일로27길 19,홍제1동 자치회관 2층,N,,N,
은평구공동육아나눔터,11380,영유아,126.9296306,37.60430604,서울특별시 은평구 은평로21가길 15-17,은평구건강가정다문화가족지원센터 내 1층 (녹번동),N,,Y,
종로구 공동육아나눔터,11110,영유아,127.0132355,37.57371028,서울특별시 종로구 종로53길 29,토월 3층 공동육아나눔터,N,,Y,
중랑구공동육아나눔터,11260,영유아,127.09313,37.58112,서울특별시 중랑구 용마산로 327,2층,N,,N,
성북구 행복 나눔터 2호점(초등돌봄),11290,초등학생,127.02308,37.60113,서울특별시 성북구 동소문로 34길 73 금호어울림아파트,휘트니스 2층 ,N,,Y,
성북구 공동육아 행복나눔터,11290,영유아,127.013023,37.60661749,서울특별시 성북구 정릉로27길 61-6,성북온가족행복지원센터 4층 (정릉동),N,,Y,
노원구 공동육아나눔터,11350,영유아,127.0738273,37.62209701,서울특별시 노원구 동일로173가길 87,1층 (공릉동),N,,Y,
구로구 공동육아나눔터 2,11530,영유아,126.84665,37.49559,서울특별시 구로구 경인로20가길 68 (오류동),행복주택 단지 내 1층,Y,https://gurofc.familynet.or.kr,Y,
구로구 공동육아나눔터 1,11530,영유아,126.88975,37.48256,서울특별시 구로구 우마2길 35 (가리봉동),3층,Y,https://gurofc.familynet.or.kr,Y,
강서구 공동육아나눔터,11500,영유아,126.8489,37.52905,서울시 강서구 강서로 5길 50 곰달래문화센터,4층,N,,Y,
강남구공동육아나눔터 신한 꿈도담터 ,11680,영유아,127.07776,37.49405,서울특별시 강남구 개포로 617-8,강남구건강가정지원센터 1층 신한 꿈도담터 (개포동),N,,Y,
서초구 공동육아나눔터 '키움',11650,영유아,127.00921,37.50501,서울시 서초구 사평대로 205 파미에스테이션 2층,서초구열린육아나눔터 '키움',N,,N,
관악구 공동육아나눔터(제 2센터),11620,영유아,126.9584,37.47631,서울시 관악구 낙성대로 4가길 5 4F (낙성대동주민센터),관악구건강가정지원센터 ,N,,N,
강동구 공동육아나눔터,11740,영유아,127.14626,37.54979,서울시 강동구 양재대로 138길 41,2층 강동구건강가정?다문화가족지원센터,N,,Y,
