시설명,자치구명,연령구분,x좌표값,y좌표값,기본주소,상세주소,사이트유무,사이트 URL,사용료무료여부,사용료
아이·맘 강동육아시티 길동점,강동구,영유아,127.14055,37.53837,서울특별시 강동구 양재대로 1486,6층 (길동),Y,https://www.gdkids.or.kr:8443/imom/06/main.do,Y,
아이·맘 강동육아시티 고덕점,강동구,영유아,127.16454,37.55712,서울특별시 강동구 고덕로 353,2층 (고덕동),Y,https://www.gdkids.or.kr:8443/imom/07/main.do,Y,
아이·맘 강동육아시티 천호공원점,강동구,영유아,127.12545,37.54346,서울특별시 강동구 올림픽로 698,5층 (천호동),Y,https://www.gdkids.or.kr:8443/imom/04/main.do,Y,0
아이·맘 강동육아시티 강일점,강동구,영유아,127.17241,37.55639,서울특별시 강동구 상일로12길 95,"3층 (상일동, 푸르내)",Y,https://www.gdkids.or.kr:8443/imom/03/main.do,Y,0
아이·맘 강동육아시티 성내점,강동구,영유아,127.12248,37.52917,서울특별시 강동구 성내로6길 16,1층 (성내동),Y,https://www.gdkids.or.kr:8443/imom/01/main.do,Y,0
8호점 상계9동 도담도담나눔터(공동육아방),노원구,영유아,127.06530342578891,37.66587141808893,서울특별시 노원구 한글비석로 480,"204동 103호 (상계동, 보람아파트2단지)",Y,https://www.nwscc.or.kr/php/index.php?pno=03080406,Y,0
7호점 하계2동 도담도담나눔터(공동육아방),노원구,영유아,127.06505344177247,37.63626845229139,서울특별시 노원구 섬밭로 229,"9동 110호 (하계동, 극동,건영,벽산아파트)",Y,https://www.nwscc.or.kr/php/index.php?pno=03080406,Y,0
맘스하트카페 상도4동점,동작구,영유아,126.93732,37.49762,서울특별시 동작구 성대로16길 21,3층 (상도동),Y,http://dccic.go.kr/intro.htm,N,2000
맘스하트카페 상도1동점,동작구,영유아,126.95348,37.50424,서울특별시 동작구 상도로47아길 44-1,1층 (상도동),Y,http://dccic.go.kr/intro.htm,N,2000
맘스하트카페 신대방1동점,동작구,영유아,126.9084,37.48881,서울특별시 동작구 신대방11길 24,1층 (신대방동),Y,http://dccic.go.kr/intro.htm,N,1000
맘스하트카페 사당1동점,동작구,영유아,126.97984,37.47704,서울특별시 동작구 남부순환로 2081,3층 (사당동),Y,http://dccic.go.kr/intro.htm,N,2000
맘스하트카페 대방동점,동작구,영유아,126.92299,37.50462,서울특별시 동작구 여의대방로36길 11,4층 (대방동),Y,http://dccic.go.kr/intro.htm,N,2000
6호점 상계6.7동 도담도담나눔터(공동육아방),노원구,영유아,127.0596,37.64097,서울특별시 노원구 덕릉로70길 100,노원아이돌봄센터 1층 (상계동)\,Y,https://www.nwscc.or.kr/php/index.php?pno=03080401,Y,0
송파동 공동육아방,송파구,영유아,127.11305,37.50859,서울특별시 송파구 오금로22길 28, (송파동)101호,N,,Y,
